circuit_type,size,variant,solver,backend,status,time_median,time_mean,time_std,time_min,time_max,num_runs
neg_or_tree,128,base,gecode,minizinc,SAT,0.15895986557006836,0.16410589218139648,0.014558634219268578,0.15281915664672852,0.18053865432739258,3
neg_or_tree,128,base,chuffed,minizinc,SAT,0.1651461124420166,0.1672377586364746,0.007232739817650462,0.16128134727478027,0.17528581619262695,3
neg_or_tree,128,base,z3,smt,SAT,0.029477834701538086,0.030207316080729168,0.0028623494444122662,0.02778029441833496,0.03336381912231445,3
neg_or_tree,128,base,cvc5,smt,SAT,0.07791733741760254,0.08127307891845703,0.008847599975163298,0.07459425926208496,0.0913076400756836,3
neg_or_tree,128,sbc,gecode,minizinc,SAT,0.17238473892211914,0.17488996187845865,0.00705650939404,0.16942787170410156,0.18285727500915527,3
neg_or_tree,128,sbc,chuffed,minizinc,SAT,0.16381263732910156,0.165679931640625,0.005601264941158941,0.16125082969665527,0.17197632789611816,3
neg_or_tree,128,sbc,z3,smt,SAT,0.02352309226989746,0.024002790451049805,0.0017626911821956354,0.02252960205078125,0.025955677032470703,3
neg_or_tree,128,sbc,cvc5,smt,SAT,0.07377195358276367,0.07555476824442546,0.0054310286220654305,0.07123923301696777,0.08165311813354492,3
neg_or_tree,128,sbc_half,gecode,minizinc,SAT,0.17579102516174316,0.17492127418518066,0.004831970522887655,0.16971349716186523,0.1792593002319336,3
neg_or_tree,128,sbc_half,chuffed,minizinc,SAT,0.162733793258667,0.16125591595967612,0.004839358196018936,0.15584993362426758,0.16518402099609375,3
neg_or_tree,128,sbc_half,z3,smt,SAT,0.020087242126464844,0.02128156026204427,0.004311575726434783,0.017693042755126953,0.026064395904541016,3
neg_or_tree,128,sbc_half,cvc5,smt,SAT,0.044454097747802734,0.04463752110799154,0.003528596020496487,0.041204214096069336,0.04825425148010254,3
neg_or_tree,256,base,gecode,minizinc,SAT,0.1772315502166748,0.18155193328857422,0.008181811539266682,0.1764359474182129,0.19098830223083496,3
neg_or_tree,256,base,chuffed,minizinc,SAT,0.17731094360351562,0.17792908350626627,0.008023021534153938,0.17023301124572754,0.18624329566955566,3
neg_or_tree,256,base,z3,smt,SAT,0.03716444969177246,0.0381774107615153,0.0033142103624348323,0.03548789024353027,0.041879892349243164,3
neg_or_tree,256,base,cvc5,smt,SAT,0.1755375862121582,0.17514546712239584,0.0026352773142560037,0.17233610153198242,0.17756271362304688,3
neg_or_tree,256,sbc,gecode,minizinc,SAT,0.19018125534057617,0.1908546288808187,0.001751796735695111,0.18953943252563477,0.19284319877624512,3
neg_or_tree,256,sbc,chuffed,minizinc,SAT,0.1787264347076416,0.18262354532877603,0.013271225650355312,0.1717371940612793,0.19740700721740723,3
neg_or_tree,256,sbc,z3,smt,SAT,0.02929997444152832,0.029432217280069988,0.0019700465636388214,0.02753162384033203,0.03146505355834961,3
neg_or_tree,256,sbc,cvc5,smt,SAT,0.17272663116455078,0.1697115103403727,0.0060562579985652095,0.16273951530456543,0.17366838455200195,3
neg_or_tree,256,sbc_half,gecode,minizinc,SAT,0.17395424842834473,0.17736236254374185,0.0069163103078063795,0.17281150817871094,0.18532133102416992,3
neg_or_tree,256,sbc_half,chuffed,minizinc,SAT,0.17579960823059082,0.17657391230265299,0.006606485585452191,0.17038869857788086,0.1835334300994873,3
neg_or_tree,256,sbc_half,z3,smt,SAT,0.026624202728271484,0.025890588760375977,0.001368214264294351,0.02431201934814453,0.026735544204711914,3
neg_or_tree,256,sbc_half,cvc5,smt,SAT,0.10596084594726562,0.10419766108194987,0.00484686061837724,0.09871602058410645,0.10791611671447754,3
neg_or_tree,512,base,gecode,minizinc,SAT,0.20810985565185547,0.2097930113474528,0.011126450394761418,0.19960403442382812,0.2216651439666748,3
neg_or_tree,512,base,chuffed,minizinc,SAT,0.20780062675476074,0.20850618680318198,0.0018695902866425543,0.2070920467376709,0.21062588691711426,3
neg_or_tree,512,base,z3,smt,SAT,0.05379796028137207,0.05227533976236979,0.0032344105242903634,0.04856061935424805,0.05446743965148926,3
neg_or_tree,512,base,cvc5,smt,SAT,0.4670383930206299,0.45459787050882977,0.025143411846044177,0.4256594181060791,0.4710958003997803,3
neg_or_tree,512,sbc,gecode,minizinc,SAT,0.21454739570617676,0.21383221944173178,0.0014784072587982315,0.21213221549987793,0.21481704711914062,3
neg_or_tree,512,sbc,chuffed,minizinc,SAT,0.21146702766418457,0.21172730127970377,0.005337350822580536,0.20652484893798828,0.21719002723693848,3
neg_or_tree,512,sbc,z3,smt,SAT,0.04306483268737793,0.04376610120137533,0.0022463487065117753,0.04195404052734375,0.0462794303894043,3
neg_or_tree,512,sbc,cvc5,smt,SAT,0.39336156845092773,0.3954772154490153,0.009167729544219993,0.38755226135253906,0.4055178165435791,3
neg_or_tree,512,sbc_half,gecode,minizinc,SAT,0.1957237720489502,0.19663659731547037,0.0015878783391287342,0.19571590423583984,0.1984701156616211,3
neg_or_tree,512,sbc_half,chuffed,minizinc,SAT,0.1894371509552002,0.185958464940389,0.007315974366676428,0.1775522232055664,0.1908860206604004,3
neg_or_tree,512,sbc_half,z3,smt,SAT,0.03860950469970703,0.04066340128580729,0.004373251954893699,0.03769516944885254,0.045685529708862305,3
neg_or_tree,512,sbc_half,cvc5,smt,SAT,0.20917320251464844,0.2141118049621582,0.014186959353736211,0.20305418968200684,0.23010802268981934,3
neg_or_tree,1024,base,gecode,minizinc,SAT,0.27014899253845215,0.27393023173014325,0.007015201760223895,0.26961684226989746,0.2820248603820801,3
neg_or_tree,1024,base,chuffed,minizinc,SAT,0.2748727798461914,0.2759527365366618,0.009938594819645732,0.2665982246398926,0.28638720512390137,3
neg_or_tree,1024,base,z3,smt,SAT,0.08275794982910156,0.0823074181874593,0.001927580466493089,0.08019447326660156,0.0839698314666748,3
