circuit_type,size,variant,solver,backend,status,run_id,wall_time,solve_time
and_tree,4096,sbc_half,gecode,minizinc,SAT,2,0.36594676971435547,0.00257243
and_tree,4096,sbc_half,gecode,minizinc,SAT,3,0.3543431758880615,0.00212043
and_tree,4096,sbc_half,chuffed,minizinc,SAT,1,0.379011869430542,0.002
and_tree,4096,sbc_half,chuffed,minizinc,SAT,2,0.3749120235443115,0.003
and_tree,4096,sbc_half,chuffed,minizinc,SAT,3,0.42362165451049805,0.004
and_tree,4096,sbc_half,z3,smt,SAT,1,0.21187400817871094,
and_tree,4096,sbc_half,z3,smt,SAT,2,0.20162200927734375,
and_tree,4096,sbc_half,z3,smt,SAT,3,0.16995930671691895,
and_tree,4096,sbc_half,cvc5,smt,SAT,1,2.3973758220672607,
and_tree,4096,sbc_half,cvc5,smt,SAT,2,2.355123281478882,
and_tree,4096,sbc_half,cvc5,smt,SAT,3,2.3102216720581055,
comparator,4,base,gecode,minizinc,SAT,1,0.16553640365600586,9.2204e-05
comparator,4,base,gecode,minizinc,SAT,2,0.14897489547729492,8.9469e-05
comparator,4,base,gecode,minizinc,SAT,3,0.16082310676574707,0.000114436
comparator,4,base,chuffed,minizinc,SAT,1,0.15801024436950684,0.0
comparator,4,base,chuffed,minizinc,SAT,2,0.15480780601501465,0.0
comparator,4,base,chuffed,minizinc,SAT,3,0.1525721549987793,0.0
comparator,4,base,z3,smt,SAT,1,0.020653963088989258,
comparator,4,base,z3,smt,SAT,2,0.01882004737854004,
comparator,4,base,z3,smt,SAT,3,0.020691633224487305,
