problem,size,variant,solver,backend,status,time_median,time_mean,time_std,time_min,time_max,par2,num_runs,num_sat,num_unsat,num_timeout,num_error
graphcoloring_kcolorable,90,sbc,cvc5,smt,SAT,4.502,4.563666666666666,0.7913041977225531,3.805,5.384,4.563666666666666,3,3,0,0,0
graphcoloring_kcolorable,100,base,gecode,minizinc,SAT,0.000575255,0.0005794666666666667,2.2544508385266135e-05,0.000559325,0.00060382,0.0005794666666666667,3,3,0,0,0
graphcoloring_kcolorable,100,base,chuffed,minizinc,SAT,2.329,2.3026666666666666,0.08945576187889377,2.203,2.376,2.3026666666666666,3,3,0,0,0
graphcoloring_kcolorable,100,base,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
graphcoloring_kcolorable,100,base,cvc5,smt,SAT,42.524,42.47533333333333,0.9809058738397555,41.471,43.431,42.47533333333333,3,3,0,0,0
graphcoloring_kcolorable,100,sbc,gecode,minizinc,SAT,0.000751839,0.0007415326666666667,9.417043932324697e-05,0.000642633,0.000830126,0.0007415326666666667,3,3,0,0,0
graphcoloring_kcolorable,100,sbc,chuffed,minizinc,SAT,0.678,0.6910000000000001,0.03724244889907211,0.662,0.733,0.6910000000000001,3,3,0,0,0
graphcoloring_kcolorable,100,sbc,z3,smt,SAT,83.81,83.47,6.03718477437953,77.27,89.33,83.47,3,3,0,0,0
graphcoloring_kcolorable,100,sbc,cvc5,smt,SAT,51.733,51.897,0.8272829020353295,51.164,52.794,51.897,3,3,0,0,0
latin_square,10,base,gecode,minizinc,SAT,0.00041979,0.00040962733333333335,2.1496287803556522e-05,0.000384934,0.000424158,0.00040962733333333335,3,3,0,0,0
latin_square,10,base,chuffed,minizinc,SAT,0.001,0.0006666666666666666,0.0005773502691896258,0.0,0.001,0.0006666666666666666,3,3,0,0,0
latin_square,10,base,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,10,base,cvc5,smt,SAT,2.865,2.8886666666666665,0.045390894828515146,2.86,2.941,2.8886666666666665,3,3,0,0,0
latin_square,10,sbc,gecode,minizinc,SAT,0.000560413,0.000561238,2.824753707847818e-05,0.000533412,0.000589889,0.000561238,3,3,0,0,0
latin_square,10,sbc,chuffed,minizinc,SAT,0.001,0.001,0.0,0.001,0.001,0.001,3,3,0,0,0
latin_square,10,sbc,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,10,sbc,cvc5,smt,SAT,2.278,2.3126666666666664,0.10728622154467611,2.227,2.433,2.3126666666666664,3,3,0,0,0
latin_square,15,base,gecode,minizinc,SAT,0.00125851,0.0013921033333333334,0.0002988900000557619,0.00118331,0.00173449,0.0013921033333333334,3,3,0,0,0
latin_square,15,base,chuffed,minizinc,SAT,0.001,0.0013333333333333333,0.0005773502691896258,0.001,0.002,0.0013333333333333333,3,3,0,0,0
latin_square,15,base,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,15,base,cvc5,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,15,sbc,gecode,minizinc,SAT,0.00281318,0.0025365333333333333,0.0004802663544673241,0.00198197,0.00281445,0.0025365333333333333,3,3,0,0,0
latin_square,15,sbc,chuffed,minizinc,SAT,0.001,0.001,0.0,0.001,0.001,0.001,3,3,0,0,0
latin_square,15,sbc,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,15,sbc,cvc5,smt,TIMEOUT,,,,,,240,3,0,0,3,0
