problem,size,variant,solver,backend,status,run_id,wall_time,solve_time,compilation_time,conflicts,propagations,decisions,nodes,failures,memory_mb
graphcoloring_kcolorable,80,base,cvc5,smt,SAT,1,1.9095847606658936,1.902,,,,,,,
graphcoloring_kcolorable,80,base,cvc5,smt,SAT,2,1.9503114223480225,1.943,,,,,,,
graphcoloring_kcolorable,80,sbc,gecode,minizinc,SAT,0,0.19875192642211914,0.000363136,0.0640121,,2198,,7,0,
graphcoloring_kcolorable,80,sbc,gecode,minizinc,SAT,1,0.17367100715637207,0.000262065,0.0656622,,2198,,7,0,
graphcoloring_kcolorable,80,sbc,gecode,minizinc,SAT,2,0.18227362632751465,0.000257756,0.0640497,,2198,,7,0,
graphcoloring_kcolorable,80,sbc,chuffed,minizinc,SAT,0,0.3546910285949707,0.174,0.0600751,,3986438,,4365,3839,
graphcoloring_kcolorable,80,sbc,chuffed,minizinc,SAT,1,0.3557436466217041,0.181,0.0607607,,3986438,,4365,3839,
graphcoloring_kcolorable,80,sbc,chuffed,minizinc,SAT,2,0.3604581356048584,0.177,0.0588057,,3986438,,4365,3839,
graphcoloring_kcolorable,80,sbc,z3,smt,SAT,0,3.7500343322753906,3.74,,4083,366279,35339,,,24.12
graphcoloring_kcolorable,80,sbc,z3,smt,SAT,1,3.9046311378479004,3.89,,4083,366279,35339,,,24.12
graphcoloring_kcolorable,80,sbc,z3,smt,SAT,2,3.9937477111816406,3.98,,4083,366279,35339,,,24.12
graphcoloring_kcolorable,80,sbc,cvc5,smt,SAT,0,2.2270922660827637,2.219,,,,,,,
graphcoloring_kcolorable,80,sbc,cvc5,smt,SAT,1,2.2266507148742676,2.219,,,,,,,
graphcoloring_kcolorable,80,sbc,cvc5,smt,SAT,2,2.3957746028900146,2.386,,,,,,,
graphcoloring_kcolorable,90,base,gecode,minizinc,SAT,0,0.1893453598022461,0.000463915,0.0628169,,2901,,9,0,
graphcoloring_kcolorable,90,base,gecode,minizinc,SAT,1,0.2020261287689209,0.000330434,0.0632367,,2901,,9,0,
graphcoloring_kcolorable,90,base,gecode,minizinc,SAT,2,0.20188260078430176,0.000450791,0.0668607,,2901,,9,0,
