family,size_param,regime,sbc,pb_vars,pb_constraints,opb_bytes,roundingsat_time_s,roundingsat_status,rsat_det_time,rsat_conflicts,rsat_decisions,rsat_propagations,rsat_cpu_s,rsat_log_lines,rsat_log_bytes,veripb_proof_lines,veripb_proof_bytes,veripb_elaborate_time_s,kernel_cert_chars,check_ns,check_status,pipeline_gross_s,pipeline_net_s,pipeline_status
oddcycle,21,none,—,21,42,942,0.0028,UNSAT,190,2,1,41,0.000271,29,731,29,785,0.0021,785,419871,OK,3.336,1.167,OK
oddcycle,21,vp,value_precedence,21,43,955,0.0024,UNSAT,22,0,0,21,0,28,383,28,415,0.0024,415,142552,OK,3.323,1.154,OK
oddcycle,23,none,—,23,46,1030,0.0035,UNSAT,208,2,1,45,0,31,793,31,851,0.0027,851,303449,OK,3.534,1.365,OK
oddcycle,23,vp,value_precedence,23,47,1043,0.0032,UNSAT,24,0,0,23,0.000299,30,407,30,441,0.0032,441,144666,OK,3.48,1.311,OK
oddcycle,25,none,—,25,50,1118,0.0027,UNSAT,226,2,1,49,0,33,849,33,911,0.0027,911,476509,OK,3.601,1.432,OK
oddcycle,25,vp,value_precedence,25,51,1131,0.0034,UNSAT,26,0,0,25,0.000676,32,431,32,467,0.0022,467,298690,OK,3.532,1.363,OK
oddcycle,27,none,—,27,54,1206,0.0032,UNSAT,244,2,1,53,0,35,911,35,977,0.0027,977,439699,OK,3.827,1.658,OK
oddcycle,27,vp,value_precedence,27,55,1219,0.0026,UNSAT,28,0,0,27,0.00054,34,455,34,493,0.0024,493,261058,OK,3.933,1.764,OK
oddcycle,29,none,—,29,58,1294,0.0033,UNSAT,262,2,1,57,0.001091,37,967,37,1037,0.0026,1037,370887,OK,4.038,1.869,OK
oddcycle,29,vp,value_precedence,29,59,1307,0.0026,UNSAT,30,0,0,29,0,36,479,36,519,0.0026,519,333136,OK,4.097,1.928,OK
oddcycle,31,none,—,31,62,1382,0.0031,UNSAT,280,2,1,61,0.000848,39,1029,39,1103,0.0024,1103,316203,OK,4.213,2.044,OK
oddcycle,31,vp,value_precedence,31,63,1395,0.0028,UNSAT,32,0,0,31,0.000159,38,503,38,545,0.0030,545,410112,OK,4.428,2.259,OK
oddcycle,33,none,—,33,66,1470,0.0029,UNSAT,298,2,1,65,0,41,1088,41,1166,0.0024,1166,332714,OK,4.599,2.43,OK
oddcycle,33,vp,value_precedence,33,67,1483,0.0030,UNSAT,34,0,0,33,0,40,530,40,574,0.0024,574,358643,OK,4.524,2.355,OK
oddcycle,35,none,—,35,70,1558,0.0030,UNSAT,316,2,1,69,0.000457,43,1156,43,1238,0.0020,1238,345709,OK,4.832,2.663,OK
oddcycle,35,vp,value_precedence,35,71,1571,0.0032,UNSAT,36,0,0,35,0,42,560,42,606,0.0027,606,223105,OK,4.804,2.635,OK
oddcycle,37,none,—,37,74,1646,0.0030,UNSAT,334,2,1,73,0.000344,45,1218,45,1304,0.0024,1304,645991,OK,5.038,2.869,OK
oddcycle,37,vp,value_precedence,37,75,1659,0.0029,UNSAT,38,0,0,37,0,44,590,44,638,0.0029,638,458213,OK,5.191,3.022,OK
oddcycle,39,none,—,39,78,1734,0.0038,UNSAT,352,2,1,77,0.000307,47,1286,47,1376,0.0026,1376,800334,OK,5.317,3.148,OK
oddcycle,39,vp,value_precedence,39,79,1747,0.0027,UNSAT,40,0,0,39,0,46,620,46,670,0.0024,670,219778,OK,5.405,3.236,OK
oddcycle,41,none,—,41,82,1822,0.0031,UNSAT,370,2,1,81,0.000463,49,1348,49,1442,0.0026,1442,761911,OK,5.73,3.561,OK
oddcycle,41,vp,value_precedence,41,83,1835,0.0029,UNSAT,42,0,0,41,0.000258,48,650,48,702,0.0025,702,234696,OK,5.74,3.571,OK
oddcycle,43,none,—,43,86,1910,0.0030,UNSAT,388,2,1,85,0.000406,51,1416,51,1514,0.0022,1514,407816,OK,5.931,3.762,OK
oddcycle,43,vp,value_precedence,43,87,1923,0.0027,UNSAT,44,0,0,43,0.000298,50,680,50,734,0.0028,734,359034,OK,5.936,3.767,OK
oddcycle,45,none,—,45,90,1998,0.0027,UNSAT,406,2,1,89,0.000305,53,1478,53,1580,0.0020,1580,467660,OK,6.276,4.107,OK
oddcycle,45,vp,value_precedence,45,91,2011,0.0025,UNSAT,46,0,0,45,0,52,710,52,766,0.0024,766,349054,OK,6.424,4.255,OK
oddcycle,47,none,—,47,94,2086,0.0033,UNSAT,424,2,1,93,0.000841,55,1546,55,1652,0.0022,1652,564164,OK,6.628,4.459,OK
oddcycle,47,vp,value_precedence,47,95,2099,0.0028,UNSAT,48,0,0,47,0.000521,54,740,54,798,0.0026,798,571557,OK,6.734,4.565,OK
oddcycle,49,none,—,49,98,2174,0.0030,UNSAT,442,2,1,97,0.000499,57,1609,57,1719,0.0022,1719,815311,OK,7.042,4.873,OK
oddcycle,49,vp,value_precedence,49,99,2187,0.0038,UNSAT,50,0,0,49,0,56,769,56,829,0.0030,829,558482,OK,7.587,5.418,OK
oddcycle,51,none,—,51,102,2263,0.0034,UNSAT,460,2,1,101,0.000169,59,1677,59,1791,0.0023,1791,809880,OK,7.464,5.295,OK
oddcycle,51,vp,value_precedence,51,103,2276,0.0030,UNSAT,52,0,0,51,0.00057,58,798,58,860,0.0027,860,605682,OK,7.58,5.411,OK
mutilated,4,none,—,20,28,814,0.0040,UNSAT,26,1,0,0,0.001071,7,445,7,456,0.0025,456,232112,OK,2.298,0.162,OK
mutilated,4,var,variable lex/reflection,20,29,835,0.0037,UNSAT,29,1,0,0,0.000388,8,479,8,488,0.0026,488,307595,OK,2.58,0.443,OK
mutilated,6,none,—,56,68,2174,0.0040,UNSAT,99,1,0,0,0.000299,7,926,7,937,0.0028,937,427522,OK,2.506,0.369,OK
mutilated,6,var,variable lex/reflection,56,69,2195,0.0047,UNSAT,94,1,0,0,0.000627,7,926,7,937,0.0026,937,590142,OK,2.539,0.403,OK
mutilated,8,none,—,108,124,4164,0.0042,UNSAT,87,1,0,0,0.001898,7,1613,7,1624,0.0032,1624,529637,OK,3.719,1.583,OK
mutilated,8,var,variable lex/reflection,108,125,4185,0.0049,UNSAT,87,1,0,0,0.001079,7,1614,7,1625,0.0022,1625,676476,OK,3.534,1.398,OK
mutilated,10,none,—,176,196,6980,0.0066,UNSAT,185,1,0,0,0.001355,7,2514,7,2525,0.0023,2525,864593,OK,7.496,5.359,OK
mutilated,10,var,variable lex/reflection,176,197,7001,0.0061,UNSAT,185,1,0,0,0.002221,7,2514,7,2525,0.0030,2525,736038,OK,7.494,5.357,OK
mutilated,12,none,—,260,284,10452,0.0064,UNSAT,331,1,0,0,0.00173,7,3613,7,3624,0.0026,3624,1195811,OK,18.409,16.273,OK
mutilated,12,var,variable lex/reflection,260,285,10474,0.0076,UNSAT,331,1,0,0,0.001827,7,3614,7,3625,0.0022,3625,1619474,OK,18.503,16.367,OK
matching,5,none,—,20,30,828,0.0053,UNSAT,871,8,7,105,0.001249,86,9661,86,9445,0.0028,9445,1916096,OK,2.387,0.25,OK
matching,5,var,variable lex/reflection,20,31,848,0.0044,UNSAT,638,6,5,79,0.001934,74,9191,74,8963,0.0025,8963,2139971,OK,2.506,0.369,OK
matching,7,none,—,42,56,1670,0.0074,UNSAT,8837,43,49,714,0.004346,159,23889,159,23407,0.0029,23407,6204966,OK,2.406,0.269,OK
matching,7,var,variable lex/reflection,42,57,1690,0.0059,UNSAT,7993,39,38,627,0.001386,155,13958,155,13892,0.0031,13892,4248232,OK,2.518,0.382,OK
matching,9,none,—,72,90,2808,0.0230,UNSAT,281509,402,448,7415,0.014611,614,77489,614,77334,0.0042,77334,26628701,OK,2.812,0.675,OK
matching,9,var,variable lex/reflection,72,91,2829,0.0210,UNSAT,235942,370,418,6636,0.012651,891,99161,891,98464,0.0058,98464,24984678,OK,2.704,0.567,OK
matching,11,none,—,110,132,4288,0.1521,UNSAT,4586164,2917,3558,50217,0.113704,5292,874649,5292,863676,0.0355,863676,288937170,OK,4.128,1.992,OK
